label,rep,start_ms,end_ms,risk_class,fatigue_fraction
BASELINE_STATIC,1,0.0,60000.0,0,
CLEAN_FLEXION,1,63040.8,70040.8,0,
CLEAN_FLEXION,2,70947.6,77947.6,0,
CLEAN_FLEXION,3,79001.9,86001.9,0,
CLEAN_FLEXION,4,87084.9,94084.9,0,
CLEAN_FLEXION,5,95073.0,102073.0,0,
CLEAN_FLEXION,6,103025.3,110025.3,0,
CLEAN_FLEXION,7,111092.5,118092.5,0,
CLEAN_FLEXION,8,119187.2,126187.2,0,
LUMBAR_DOMINANT,1,130154.8,137154.8,1,
LUMBAR_DOMINANT,2,138636.2,145636.2,1,
LUMBAR_DOMINANT,3,147190.3,154190.3,1,
LUMBAR_DOMINANT,4,155625.0,162625.0,1,
LUMBAR_DOMINANT,5,164149.3,171149.3,1,
LUMBAR_DOMINANT,6,172741.6,179741.6,1,
CLEAN_LATERAL_L,1,184183.5,188683.5,0,
CLEAN_LATERAL_L,2,189585.7,194085.7,0,
CLEAN_LATERAL_L,3,195015.7,199515.7,0,
CLEAN_LATERAL_L,4,200578.8,205078.8,0,
CLEAN_LATERAL_L,5,206123.9,210623.9,0,
CLEAN_LATERAL_L,6,211696.9,216196.9,0,
CLEAN_LATERAL_R,1,220138.9,224638.9,0,
CLEAN_LATERAL_R,2,225561.7,230061.7,0,
CLEAN_LATERAL_R,3,231153.5,235653.5,0,
CLEAN_LATERAL_R,4,236735.5,241235.5,0,
CLEAN_LATERAL_R,5,242316.3,246816.3,0,
CLEAN_LATERAL_R,6,247728.0,252228.0,0,
CLEAN_ROTATION_L,1,256136.9,260636.9,0,
CLEAN_ROTATION_L,2,261555.0,266055.0,0,
CLEAN_ROTATION_L,3,266971.8,271471.8,0,
CLEAN_ROTATION_L,4,272513.3,277013.3,0,
CLEAN_ROTATION_L,5,278104.9,282604.9,0,
CLEAN_ROTATION_L,6,283518.9,288018.9,0,
CLEAN_ROTATION_R,1,292046.6,296546.6,0,
CLEAN_ROTATION_R,2,297479.5,301979.5,0,
CLEAN_ROTATION_R,3,302884.7,307384.7,0,
CLEAN_ROTATION_R,4,308483.2,312983.2,0,
CLEAN_ROTATION_R,5,314054.6,318554.6,0,
CLEAN_ROTATION_R,6,319467.9,323967.9,0,
FAST_BEND,1,328024.4,329624.4,1,
FAST_BEND,2,331389.8,332989.8,1,
FAST_BEND,3,334799.1,336399.1,1,
FAST_BEND,4,338151.1,339751.1,1,
FAST_BEND,5,341530.5,343130.5,1,
FAST_BEND,6,344965.9,346565.9,1,
SHOULDER_DRIVEN,1,351294.7,360294.7,1,
SHOULDER_DRIVEN,2,361892.4,370892.4,1,
SHOULDER_DRIVEN,3,372426.4,381426.4,1,
SHOULDER_DRIVEN,4,382872.6,391872.6,1,
SHOULDER_DRIVEN,5,393411.1,402411.1,1,
PICKUP_SYM,1,406866.9,412366.9,0,
PICKUP_SYM,2,413852.4,419352.4,0,
PICKUP_SYM,3,420844.2,426344.2,0,
PICKUP_SYM,4,427829.0,433329.0,0,
PICKUP_SYM,5,434876.2,440376.2,0,
PICKUP_ASYM,1,444883.8,450383.8,1,
PICKUP_ASYM,2,451832.6,457332.6,1,
PICKUP_ASYM,3,458780.1,464280.1,1,
PICKUP_ASYM,4,465685.6,471185.6,1,
PICKUP_ASYM,5,472753.0,478253.0,1,
SIT_TO_STAND_NORMAL,1,482760.4,487260.4,0,
SIT_TO_STAND_NORMAL,2,488247.2,492747.2,0,
SIT_TO_STAND_NORMAL,3,493686.8,498186.8,0,
SIT_TO_STAND_NORMAL,4,499185.1,503685.1,0,
SIT_TO_STAND_NORMAL,5,504723.3,509223.3,0,
SIT_TO_STAND_FAST,1,513203.3,515203.3,-1,
SIT_TO_STAND_FAST,2,516775.1,518775.1,-1,
SIT_TO_STAND_FAST,3,520330.8,522330.8,-1,
FATIGUE_FLEXION,1,526770.8,532270.8,0,0.0
FATIGUE_FLEXION,2,532270.8,537770.8,0,0.053
FATIGUE_FLEXION,3,537770.8,543270.8,0,0.105
FATIGUE_FLEXION,4,543270.8,548770.8,0,0.158
FATIGUE_FLEXION,5,548770.8,554270.8,0,0.211
FATIGUE_FLEXION,6,554270.8,559770.8,0,0.263
FATIGUE_FLEXION,7,559770.8,565270.8,-1,0.316
FATIGUE_FLEXION,8,565270.8,570770.8,-1,0.368
FATIGUE_FLEXION,9,570770.8,576270.8,-1,0.421
FATIGUE_FLEXION,10,576270.8,581770.8,-1,0.474
FATIGUE_FLEXION,11,581770.8,587270.8,-1,0.526
FATIGUE_FLEXION,12,587270.8,592770.8,-1,0.579
FATIGUE_FLEXION,13,592770.8,598270.8,1,0.632
FATIGUE_FLEXION,14,598270.8,603770.8,1,0.684
FATIGUE_FLEXION,15,603770.8,609270.8,1,0.737
FATIGUE_FLEXION,16,609270.8,614770.8,1,0.789
FATIGUE_FLEXION,17,614770.8,620270.8,1,0.842
FATIGUE_FLEXION,18,620270.8,625770.8,1,0.895
FATIGUE_FLEXION,19,625770.8,631270.8,1,0.947
FATIGUE_FLEXION,20,631270.8,636770.8,1,1.0
