label,rep,start_ms,end_ms,risk_class,fatigue_fraction
BASELINE_STATIC,1,0.0,60000.0,0,
CLEAN_FLEXION,1,63005.4,70005.4,0,
CLEAN_FLEXION,2,71050.7,78050.7,0,
CLEAN_FLEXION,3,79129.3,86129.3,0,
CLEAN_FLEXION,4,87056.4,94056.4,0,
CLEAN_FLEXION,5,95047.7,102047.7,0,
CLEAN_FLEXION,6,103133.5,110133.5,0,
CLEAN_FLEXION,7,111147.3,118147.3,0,
CLEAN_FLEXION,8,119242.8,126242.8,0,
LUMBAR_DOMINANT,1,130248.4,137248.4,1,
LUMBAR_DOMINANT,2,138794.7,145794.7,1,
LUMBAR_DOMINANT,3,147324.3,154324.3,1,
LUMBAR_DOMINANT,4,155754.3,162754.3,1,
LUMBAR_DOMINANT,5,164343.7,171343.7,1,
LUMBAR_DOMINANT,6,172866.4,179866.4,1,
CLEAN_LATERAL_L,1,184426.3,188926.3,0,
CLEAN_LATERAL_L,2,189842.6,194342.6,0,
CLEAN_LATERAL_L,3,195373.9,199873.9,0,
CLEAN_LATERAL_L,4,200950.1,205450.1,0,
CLEAN_LATERAL_L,5,206473.9,210973.9,0,
CLEAN_LATERAL_L,6,211928.6,216428.6,0,
CLEAN_LATERAL_R,1,220499.2,224999.2,0,
CLEAN_LATERAL_R,2,226043.9,230543.9,0,
CLEAN_LATERAL_R,3,231593.8,236093.8,0,
CLEAN_LATERAL_R,4,237186.2,241686.2,0,
CLEAN_LATERAL_R,5,242761.4,247261.4,0,
CLEAN_LATERAL_R,6,248322.0,252822.0,0,
CLEAN_ROTATION_L,1,256848.6,261348.6,0,
CLEAN_ROTATION_L,2,262327.5,266827.5,0,
CLEAN_ROTATION_L,3,267852.8,272352.8,0,
CLEAN_ROTATION_L,4,273391.3,277891.3,0,
CLEAN_ROTATION_L,5,278975.7,283475.7,0,
CLEAN_ROTATION_L,6,284485.1,288985.1,0,
CLEAN_ROTATION_R,1,292913.9,297413.9,0,
CLEAN_ROTATION_R,2,298473.0,302973.0,0,
CLEAN_ROTATION_R,3,303919.3,308419.3,0,
CLEAN_ROTATION_R,4,309438.7,313938.7,0,
CLEAN_ROTATION_R,5,314877.4,319377.4,0,
CLEAN_ROTATION_R,6,320337.7,324837.7,0,
FAST_BEND,1,328850.6,330450.6,1,
FAST_BEND,2,332165.7,333765.7,1,
FAST_BEND,3,335523.8,337123.8,1,
FAST_BEND,4,338914.3,340514.3,1,
FAST_BEND,5,342347.2,343947.2,1,
FAST_BEND,6,345677.2,347277.2,1,
SHOULDER_DRIVEN,1,352013.1,361013.1,1,
SHOULDER_DRIVEN,2,362610.1,371610.1,1,
SHOULDER_DRIVEN,3,373071.2,382071.2,1,
SHOULDER_DRIVEN,4,383550.8,392550.8,1,
SHOULDER_DRIVEN,5,394067.9,403067.9,1,
PICKUP_SYM,1,407524.3,413024.3,0,
PICKUP_SYM,2,414586.3,420086.3,0,
PICKUP_SYM,3,421675.6,427175.6,0,
PICKUP_SYM,4,428638.0,434138.0,0,
PICKUP_SYM,5,435601.6,441101.6,0,
PICKUP_ASYM,1,445515.3,451015.3,1,
PICKUP_ASYM,2,452431.5,457931.5,1,
PICKUP_ASYM,3,459381.5,464881.5,1,
PICKUP_ASYM,4,466396.4,471896.4,1,
PICKUP_ASYM,5,473482.6,478982.6,1,
SIT_TO_STAND_NORMAL,1,483541.9,488041.9,0,
SIT_TO_STAND_NORMAL,2,489021.3,493521.3,0,
SIT_TO_STAND_NORMAL,3,494560.4,499060.4,0,
SIT_TO_STAND_NORMAL,4,500092.1,504592.1,0,
SIT_TO_STAND_NORMAL,5,505583.5,510083.5,0,
SIT_TO_STAND_FAST,1,514057.5,516057.5,-1,
SIT_TO_STAND_FAST,2,517640.5,519640.5,-1,
SIT_TO_STAND_FAST,3,521048.1,523048.1,-1,
FATIGUE_FLEXION,1,527515.9,533015.9,0,0.0
FATIGUE_FLEXION,2,533015.9,538515.9,0,0.053
FATIGUE_FLEXION,3,538515.9,544015.9,0,0.105
FATIGUE_FLEXION,4,544015.9,549515.9,0,0.158
FATIGUE_FLEXION,5,549515.9,555015.9,0,0.211
FATIGUE_FLEXION,6,555015.9,560515.9,0,0.263
FATIGUE_FLEXION,7,560515.9,566015.9,-1,0.316
FATIGUE_FLEXION,8,566015.9,571515.9,-1,0.368
FATIGUE_FLEXION,9,571515.9,577015.9,-1,0.421
FATIGUE_FLEXION,10,577015.9,582515.9,-1,0.474
FATIGUE_FLEXION,11,582515.9,588015.9,-1,0.526
FATIGUE_FLEXION,12,588015.9,593515.9,-1,0.579
FATIGUE_FLEXION,13,593515.9,599015.9,1,0.632
FATIGUE_FLEXION,14,599015.9,604515.9,1,0.684
FATIGUE_FLEXION,15,604515.9,610015.9,1,0.737
FATIGUE_FLEXION,16,610015.9,615515.9,1,0.789
FATIGUE_FLEXION,17,615515.9,621015.9,1,0.842
FATIGUE_FLEXION,18,621015.9,626515.9,1,0.895
FATIGUE_FLEXION,19,626515.9,632015.9,1,0.947
FATIGUE_FLEXION,20,632015.9,637515.9,1,1.0
