window_centre_ms,movement_label,risk_class_archetype,imu_trunk_angle_peak,imu_trunk_angle_mean,imu_angvel_peak,imu_angvel_mean,imu_time_in_risk_zone,imu_time_high_velocity,imu_ldlj,imu_jerk_rms,imu_jerk_peak,imu_ldlj_multiaxis,imu_compensation_index,imu_lumbopelv_ratio,imu_pelvis_angle_peak,imu_pelvis_angle_mean,imu_lat_angle_peak,imu_lat_angle_mean,imu_l3_accel_tilt_peak,imu_l3_accel_tilt_mean,imu_l3_accel_tilt_range,risk_class_signal,risk_criteria,risk_clinical,risk_layman,risk_class_protocol,risk_class,emg_rms_LES,emg_rms_RES,emg_rms_LMF,emg_rms_RMF,emg_mav_LES,emg_mav_RES,emg_mav_LMF,emg_mav_RMF,emg_zcr_LES,emg_zcr_RES,emg_zcr_LMF,emg_zcr_RMF,emg_ai_ES,emg_ai_MF,emg_cai_ES,emg_cai_MF,imu_z_flex,imu_z_vel,imu_z_ldlj,emg_z_rms_r,emg_z_ar
1000.0,BASELINE_STATIC,0,3.591,1.117505,38.6382,11.817363999999998,0.0,0.0,-18.977647390081643,90360.05475620851,232133.5,-17.272995532600333,0.5132862516159434,0.5391426617275672,1.909,0.59768,1.708,0.5488850000000001,,,,0,none,,,0,0,0.0042791047004913626,0.004169064695330262,0.004079079202614161,0.003737729065090191,0.0033717680118568382,0.003299437667527434,0.0032116569566582975,0.003042016172317332,0.556390977443609,0.5764411027568922,0.5463659147869674,0.5989974937343359,-0.013025307614632463,-0.043668736117563486,0.9742843391636422,0.9163168645254035,-0.041607110738347254,-0.3211564011836452,-0.5581431452522001,-1.3053559770657965,-0.45976249915975576
2000.0,BASELINE_STATIC,0,3.152,1.15094,38.6382,11.127111,0.0,0.0,-18.938762421237474,88537.71181507205,232133.5,-17.48231942046125,0.5028982042836752,0.5293198638750262,1.909,0.598305,1.841,0.5430699999999999,,,,0,none,,,0,0,0.00402316249446883,0.004125543477892772,0.0040727232459299885,0.0040241508191200676,0.0032136070090309264,0.0033019241231252287,0.0032741319504934548,0.003190731183112376,0.556390977443609,0.5614035087719298,0.5513784461152882,0.5714285714285714,0.012564078734855955,-0.005998910989561087,0.9751836372655959,0.9880737226968562,-1.0994558528696936,-0.3211564011836452,-0.4909891576972993,-1.3071938041143054,0.3078596567190062
3000.0,BASELINE_STATIC,0,3.4219999999999997,1.1744700000000001,42.934400000000004,10.774345,0.0,0.005,-18.61742457930878,84170.31389107741,287920.0,-17.59978081793829,0.5016284477359495,0.49557675334673,1.823,0.5764199999999999,1.841,0.5434749999999999,,,,0,none,,,0,0,0.004260038560310033,0.004370510691431246,0.004057989478679975,0.00432990937070206,0.0033679330212891523,0.0034855789029123417,0.003258523092539785,0.0033922430227602807,0.5914786967418546,0.5288220551378446,0.581453634085213,0.5864661654135338,0.012800127535211574,0.0324181176841586,0.9747232900407261,0.9371996342782584,-0.44884273128549534,0.48517077951392396,0.06395837290961548,-1.2968492550059194,0.3149405724763002
4000.0,BASELINE_STATIC,0,3.4219999999999997,1.1408600000000002,42.934400000000004,10.780008000000002,0.0,0.01,-18.479608149865264,78335.08658413387,287920.0,-17.60285845681688,0.5070488294751497,0.491344759382144,1.823,0.559365,2.332,0.5832400000000001,,,,0,none,,,0,0,0.005486713251915996,0.005137607929916305,0.004383004454616073,0.004245103018617378,0.004355262435340786,0.003984681920529477,0.003468177861208274,0.0033258245979108036,0.5714285714285714,0.556390977443609,0.5939849624060151,0.5964912280701754,-0.03285907080789916,-0.01598281389360302,0.9363725957652733,0.9685372357188774,-0.44884273128549534,0.48517077951392396,0.30196609318836026,-1.2644560422988254,-1.0547293285190145
5000.0,BASELINE_STATIC,0,3.209,1.053555,40.488,8.944803,0.0,0.005,-18.38514166032482,70589.05834237875,233411.0,-16.73970451688903,0.5337356183660126,0.4949738893189925,1.589,0.52393,2.332,0.5871550000000001,,,,0,none,,,0,0,0.006440604289314307,0.006155343611784528,0.004515694473452071,0.004490101419029748,0.005123787071748355,0.0048700110590306454,0.00356149216212726,0.0035415135792569996,0.5488721804511278,0.5664160401002506,0.5664160401002506,0.581453634085213,-0.022647019483535126,-0.0028418426009063796,0.9557090197261368,0.9943324211651641,-0.9621041938685849,0.026021108907682687,0.4651088615001185,-1.221478794085203,-0.7483915075767158
6000.0,BASELINE_STATIC,0,3.17,1.0841749999999999,33.457800000000006,9.788484,0.0,0.0,-18.89738029573294,75131.74987404626,199270.00000000003,-16.86687261435558,0.5115776130776538,0.4930024755233729,1.891,0.538155,2.284,0.5869149999999999,,,,0,none,,,0,0,0.007646069034483319,0.007716664369679129,0.005125358488154126,0.00505945170166309,0.005943812051122124,0.006198180417893957,0.0040464809480158,0.004028201929013434,0.5714285714285714,0.5714285714285714,0.5538847117794486,0.581453634085213,0.004595232719242698,-0.0064710863789027,0.9908515737093351,0.9871410386915644,-1.0560816447640808,-1.293433605896106,-0.4195226033003162,-1.1555468719284185,0.06881278490946698
7000.0,BASELINE_STATIC,0,3.991,1.221055,33.689,11.790753,0.0,0.0,-19.2505549695736,90392.46310792454,249916.5,-16.968936581814898,0.48849159488917615,0.490483234271808,2.466,0.6019450000000001,2.284,0.556235,,,,0,none,,,0,0,0.010123167262723012,0.009758144455756845,0.005764053830342236,0.0060498016426169,0.007829465464864564,0.007806367554990623,0.004676172496554954,0.004895674877678485,0.5764411027568922,0.5639097744360902,0.5964912280701754,0.581453634085213,-0.018360096764987347,0.02418751549218761,0.963941837816875,0.9527674080647938,0.9222641804975032,-1.250041109229919,-1.0294520530794273,-1.0693386373684657,-0.6197937829437811
8000.0,BASELINE_STATIC,0,3.991,1.16896,33.689,11.147350000000001,0.0,0.0,-19.2223295777756,88917.85923026796,249916.5,-17.377806483240168,0.5023763462917539,0.4822532338716449,2.528,0.5627850000000001,2.327,0.546715,,,,0,none,,,0,0,0.012095337097955369,0.012032905494382597,0.006852388618641158,0.007145327065248749,0.00948090002405102,0.009662848706141966,0.0054817804374205715,0.005868206249326369,0.5363408521303258,0.543859649122807,0.5864661654135338,0.5664160401002506,-0.0025874907106826343,0.020927589416945804,0.9948383742373477,0.9590027938633775,0.9222641804975032,-1.250041109229919,-0.9807070581398394,-0.9732793446410686,-0.1466522351991691
9000.0,BASELINE_STATIC,0,4.309,1.035965,35.89240000000001,9.788813,0.0,0.0,-18.83707482463406,78326.24893547023,200909.00000000006,-16.779823971823216,0.5267769584436809,0.45799341607536215,2.528,0.47391999999999995,2.327,0.5438649999999999,,,,0,none,,,0,0,0.01407922791815703,0.014211191825606838,0.008876727456633426,0.008361678633593411,0.010967292541571694,0.011388824333095213,0.007076700526427688,0.006829492608645233,0.5213032581453634,0.5488721804511278,0.543859649122807,0.5764411027568922,0.004664614687411901,-0.029877984098078396,0.990714085836768,0.9419776234478024,1.6885418570300046,-0.8364986042373608,-0.31537560316007907,-0.8812940148494314,0.07089408280609356
10000.0,BASELINE_STATIC,0,4.309,1.07592,35.89240000000001,9.906201,0.0,0.0,-18.818816259759558,77604.13079719082,215954.99999999997,-16.776203068910142,0.5366841771298491,0.4707170648519441,1.629,0.49787499999999996,1.715,0.51408,,,,0,none,,,0,0,0.01716849135823518,0.017543421051392453,0.009879074467814815,0.009515265864044564,0.013556214053094604,0.013966728455348054,0.007856661043543106,0.007567065992213202,0.5538847117794486,0.518796992481203,0.5413533834586466,0.5839598997493735,0.010801182278084003,-0.01875849333078976,0.978628473200356,0.9631738170457659,1.6885418570300046,-0.8364986042373608,-0.2838432276741612,-0.7405796377349435,0.25497685756718635
